date, pm25, pm10, o3, no2
2022/6/5, 14, 5, , 3
2022/6/6, 13, 7, , 6
2022/6/7, 17, 9, , 2
2022/6/8, 25, 12, , 3
2022/6/9, 40, 8, , 2
2022/6/10, 24, 14, , 1
2022/6/11, 42, 14, , 4
2022/6/12, 35, 10, , 2
2022/6/13, 26, 9, , 1
2022/6/14, 24, 6, , 5
2022/6/15, 16, 6, , 3
2022/6/16, 14, 7, , 2
2022/6/17, 22, 16, , 5
2022/6/18, 35, 4, , 
2022/6/19, 10, 7, , 5
2022/6/20, 18, 4, , 3
2022/6/21, 11, 7, , 2
2022/6/22, 17, 7, , 1
2022/6/23, 20, 9, , 7
2022/6/24, 27, 10, , 3
2022/6/25, 33, 8, , 3
2022/6/26, 29, 5, , 5
2022/6/27, 15, 7, , 7
2022/6/28, 20, 7, , 11
2022/6/29, 15, 8, , 16
2022/6/30, 20, 8, , 12
2022/1/3, 25, 7, , 4
2022/1/4, 19, 5, , 7
2022/1/5, 13, 9, , 7
2022/1/6, 25, 3, , 2
2022/1/7, 10, 4, , 2
2022/1/8, 15, 8, , 8
2022/1/9, 25, 12, , 11
2022/1/10, 31, 12, , 5
2022/1/11, 34, 9, , 3
2022/1/12, 24, 6, , 2
2022/1/13, 18, 21, , 6
2022/1/14, 48, 11, , 2
2022/1/15, 28, 10, , 
2022/1/16, 24, 15, , 3
2022/1/17, 35, 5, , 3
2022/1/18, 16, 9, , 1
2022/1/19, 25, 9, , 2
2022/1/20, 23, 10, , 10
2022/1/21, 33, 4, , 4
2022/1/22, 16, 4, , 1
2022/1/23, 13, 11, , 5
2022/1/24, 30, 7, , 4
2022/1/25, 19, 16, , 4
2022/1/26, 40, 11, , 1
2022/1/27, 27, 7, , 3
2022/1/28, 17, 8, , 1
2022/1/29, 20, 18, , 3
2022/1/30, 43, 9, , 8
2022/1/31, 25, 9, , 3
2022/2/1, 23, 10, , 9
2022/2/2, 30, 2, , 2
2022/2/3, 6, 8, , 3
2022/2/4, 19, 10, , 3
2022/2/5, 25, 9, , 6
2022/2/6, 22, 10, , 7
2022/2/7, 26, 12, , 3
2022/2/8, 28, 12, , 1
2022/2/9, 27, 8, , 6
2022/2/10, 19, 7, , 4
2022/2/11, 19, 6, , 1
2022/2/12, 19, 13, , 1
2022/2/13, 39, 4, , 9
2022/2/14, 13, 5, , 5
2022/2/15, 15, 5, , 6
2022/2/16, 15, 5, , 6
2022/2/17, 14, 7, , 7
2022/2/18, 15, 7, , 8
2022/2/19, 23, 3, , 
2022/2/20, 10, 4, , 7
2022/2/21, 11, 6, , 5
2022/2/22, 15, 17, , 3
2022/2/23, 41, 13, , 5
2022/2/24, 30, 10, , 5
2022/2/25, 23, 8, , 1
2022/2/26, 24, 8, , 1
2022/2/27, 23, 7, , 1
2022/2/28, 23, 10, , 5
2022/3/1, 26, 17, , 4
2022/3/2, 37, 9, , 9
2022/3/3, 21, 9, , 7
2022/3/4, 17, 6, , 3
2022/3/5, 20, 8, , 5
2022/3/6, 25, 9, , 4
2022/3/7, 23, 12, , 10
2022/3/8, 24, 7, , 1
2022/3/9, 16, 19, , 2
2022/3/10, 58, 9, , 
2022/3/11, 25, 9, , 2
2022/3/12, 23, 9, , 
2022/3/13, 29, 16, , 6
2022/3/14, 40, 19, , 3
2022/3/15, 58, 7, , 1
2022/3/16, 25, 6, , 2
2022/3/17, 18, 15, , 2
2022/3/18, 33, 11, , 2
2022/3/19, 29, 11, , 8
2022/3/20, 32, 20, , 12
2022/3/21, 40, 22, , 11
2022/3/22, 69, 29, , 14
2022/3/23, 76, 30, , 12
2022/3/24, 81, 14, , 14
2022/3/25, 41, 16, , 9
2022/3/26, 38, 5, , 11
2022/3/27, 15, 18, , 9
2022/3/28, 41, 5, , 9
2022/3/29, 12, 5, , 8
2022/3/30, 9, 6, , 7
2022/3/31, 9, 9, , 7
2021/10/1, 7, 6, 27, 
2021/10/2, 15, 6, 30, 
2021/10/3, 12, 10, 27, 
2021/10/4, 23, 6, 24, 9
2021/10/5, 16, 9, 24, 12
2021/10/6, 21, 4, 27, 4
2021/10/7, 7, 1, 25, 2
2021/10/8, 4, 6, 29, 
2021/10/9, 20, 6, 28, 1
2021/10/10, 18, 6, 27, 3
2021/10/11, 14, 5, 25, 5
2021/10/12, 10, 6, 32, 3
2021/10/13, 14, 12, 32, 1
2021/10/14, 28, 10, 29, 3
2021/10/15, 21, 9, 26, 4
2021/10/16, 22, 6, 20, 5
2021/10/17, 17, 9, 19, 15
2021/10/18, 25, 2, 27, 2
2021/10/19, 6, 4, 27, 2
2021/10/20, 10, 8, 31, 3
2021/10/21, 16, 9, 27, 7
2021/10/22, 20, 12, 28, 5
2021/10/23, 28, 5, 30, 
2021/10/24, 17, 8, 29, 2
2021/10/25, 22, 8, 31, 3
2021/10/26, 18, 14, 29, 2
2021/10/27, 32, 3, 28, 2
2021/10/28, 8, 6, 33, 2
2021/10/29, 19, 6, 30, 1
2021/10/30, 17, 5, 30, 1
2021/10/31, 12, 3, 46, 3
2021/11/1, 8, 4, , 1
2021/11/2, 11, 4, , 3
2021/11/3, 12, 7, , 10
2021/11/4, 18, 7, , 8
2021/11/5, 17, 5, , 4
2021/11/6, 14, 5, , 4
2021/11/7, 16, 4, , 7
2021/11/8, 11, 8, , 3
2021/11/9, 19, 11, , 5
2021/11/10, 25, 7, , 4
2021/11/11, 18, 1, , 10
2021/11/12, 4, , , 9
2021/11/15, 9, 3, , 1
2021/11/16, 8, 8, , 6
2021/11/17, 20, 6, , 3
2021/11/18, 16, 14, , 1
2021/11/19, 32, 6, , 5
2021/11/20, 17, 6, , 7
2021/11/21, 17, 7, , 7
2021/11/22, 21, 5, , 5
2021/11/23, 15, 7, , 5
2021/11/24, 17, 4, , 6
2021/11/25, 11, 5, , 5
2021/11/26, 14, 13, , 13
2021/11/27, 42, 26, , 18
2021/11/28, 78, 17, , 11
2021/11/29, 44, 13, , 14
2021/11/30, 35, 15, , 19
2021/12/1, 47, 18, , 19
2021/12/2, 51, 12, , 12
2021/12/3, 41, 4, , 5
2021/12/4, 14, 9, , 8
2021/12/5, 32, 5, , 2
2021/12/6, 9, 6, , 4
2021/12/7, 18, 4, , 3
2021/12/8, 11, 7, , 5
2021/12/9, 14, 15, , 12
2021/12/10, 33, 12, , 8
2021/12/11, 38, 4, , 1
2021/12/12, 15, 10, , 3
2021/12/13, 26, 6, , 3
2021/12/14, 17, 13, , 3
2021/12/15, 33, 26, , 7
2021/12/16, 58, 6, , 7
2021/12/17, 17, 7, , 6
2021/12/18, 22, 8, , 4
2021/12/19, 21, 14, , 9
2021/12/20, 37, 12, , 11
2021/12/21, 41, 3, , 2
2021/12/22, 11, 5, , 10
2021/12/23, 16, 17, , 10
2021/12/24, 37, 18, , 15
2021/12/25, 53, 20, , 15
2021/12/26, 63, 22, , 22
2021/12/27, 64, 11, , 14
2021/12/28, 36, 14, , 13
2021/12/29, 48, 8, , 4
2021/12/30, 23, 7, , 5
2021/12/31, 22, 13, , 5
2022/1/1, 40, 16, , 1
2022/1/2, 47, 9, , 3
2021/7/1, 36, 12, 25, 6
2021/7/2, 29, 6, 21, 3
2021/7/3, 20, 11, 27, 6
2021/7/4, 43, 11, 27, 4
2021/7/5, 31, 5, 27, 3
2021/7/6, 15, 6, 29, 4
2021/7/7, 13, 5, 23, 2
2021/7/8, 16, 4, 24, 4
2021/7/9, 14, 6, 27, 3
2021/7/10, 20, 4, 27, 
2021/7/11, 12, 6, 27, 4
2021/7/12, 17, 8, 25, 5
2021/7/13, 24, 10, 25, 4
2021/7/14, 30, 8, 27, 1
2021/7/15, 19, 14, 18, 1
2021/7/16, 22, 7, 20, 
2021/7/17, 17, 7, 19, 
2021/7/18, 18, 9, 20, 1
2021/7/19, 19, 7, 19, 1
2021/7/20, 16, 9, 26, 1
2021/7/21, 15, 6, 19, 2
2021/7/22, 17, 15, 18, 7
2021/7/23, 40, 15, 24, 3
2021/7/24, 44, 12, 29, 5
2021/7/25, 41, 13, 29, 9
2021/7/26, 35, 9, 33, 5
2021/7/27, 32, 7, 35, 4
2021/7/28, 27, 5, 34, 7
2021/7/29, 16, 10, 28, 2
2021/7/30, 31, 6, 24, 7
2021/7/31, 14, 5, 25, 3
2021/8/1, 8, 6, 25, 3
2021/8/2, 10, 38, 24, 2
2021/8/3, 19, 5, 29, 4
2021/8/4, 12, 6, 39, 4
2021/8/5, 17, 5, 34, 6
2021/8/6, 14, 5, 34, 2
2021/8/7, 11, 6, 34, 5
2021/8/8, 17, 5, 21, 8
2021/8/9, 13, 6, 26, 3
2021/8/10, 17, 6, 29, 5
2021/8/11, 14, 5, 27, 3
2021/8/12, 16, 6, 26, 2
2021/8/13, 17, 5, 24, 1
2021/8/14, 14, 4, 24, 5
2021/8/15, 12, 3, 19, 5
2021/8/16, 7, 7, 30, 5
2021/8/17, 18, 5, 29, 2
2021/8/18, 9, 5, 29, 3
2021/8/19, 9, 4, 26, 2
2021/8/20, 8, 4, 26, 3
2021/8/21, 9, 5, 26, 7
2021/8/22, 13, 36, 28, 6
2021/8/23, 27, 7, 26, 2
2021/8/24, 15, 5, 22, 2
2021/8/25, 11, 6, 25, 5
2021/8/26, 17, 6, 24, 7
2021/8/27, 7, 5, 24, 7
2021/8/28, 10, 6, 21, 4
2021/8/29, 14, 8, 24, 3
2021/8/30, 20, 9, 27, 3
2021/8/31, 16, 10, 26, 3
2021/9/1, 31, 7, 26, 4
2021/9/2, 19, 9, 28, 1
2021/9/3, 23, 5, 29, 2
2021/9/4, 10, 6, 32, 5
2021/9/5, 16, 7, 30, 2
2021/9/6, 21, 4, 30, 3
2021/9/7, 15, 4, 22, 4
2021/9/8, 13, 22, 34, 6
2021/9/9, 57, 30, 19, 13
2021/9/10, 80, 12, 38, 5
2021/9/11, 39, 6, 25, 2
2021/9/12, 16, 4, 25, 4
2021/9/13, 8, 5, 25, 8
2021/9/14, 9, 7, 17, 9
2021/9/15, 13, 4, 20, 6
2021/9/16, 12, 6, 25, 5
2021/9/17, 12, 3, 25, 1
2021/9/18, 7, 3, 20, 3
2021/9/19, 7, 6, 27, 1
2021/9/20, 13, 17, 25, 3
2021/9/21, 38, 11, 26, 3
2021/9/22, 31, 8, 29, 3
2021/9/23, 17, 9, 25, 2
2021/9/24, 19, 7, 26, 2
2021/9/25, 14, 3, 27, 
2021/9/26, 9, 4, 28, 1
2021/9/27, 8, 8, 31, 1
2021/9/28, 16, 4, 31, 2
2021/9/29, 8, 4, 27, 5
2021/9/30, 7, 3, 28, 2
2021/4/1, 9, 11, 36, 
2021/4/2, 25, 12, 34, 2
2021/4/3, 24, 8, 34, 1
2021/4/4, 20, 9, 26, 1
2021/4/5, 20, 9, 30, 2
2021/4/6, 22, 7, 31, 3
2021/4/7, 15, 5, 35, 3
2021/4/8, 13, 9, 34, 1
2021/4/9, 21, 6, 32, 2
2021/4/10, 14, 4, 35, 1
2021/4/11, 11, 2, 31, 1
2021/4/12, 4, 4, 36, 
2021/4/13, 9, 8, 31, 3
2021/4/14, 22, 9, 33, 4
2021/4/15, 26, 9, 34, 7
2021/4/16, 18, 7, 34, 7
2021/4/17, 17, 9, 32, 6
2021/4/18, 19, 17, 36, 10
2021/4/19, 26, 14, 37, 4
2021/4/20, 27, 7, 37, 1
2021/4/21, 15, 10, 34, 1
2021/4/22, 21, 6, 32, 2
2021/4/23, 12, 4, 32, 1
2021/4/24, 6, 3, 33, 3
2021/4/25, 5, 7, 31, 6
2021/4/26, 11, 7, 37, 5
2021/4/27, 14, 8, 40, 6
2021/4/28, 14, 9, 37, 8
2021/4/29, 14, 8, 40, 7
2021/4/30, 14, 7, 37, 2
2021/5/1, 15, 7, 35, 3
2021/5/2, 16, 4, 34, 2
2021/5/3, 9, 4, 37, 5
2021/5/4, 7, 3, 39, 1
2021/5/5, 5, 4, 32, 2
2021/5/6, 7, 5, 34, 4
2021/5/7, 12, 4, 33, 2
2021/5/8, 9, 3, 35, 3
2021/5/9, 10, 8, 34, 6
2021/5/10, 23, 9, 35, 3
2021/5/11, 27, 11, 29, 7
2021/5/12, 29, 12, 29, 3
2021/5/13, 37, 12, 24, 10
2021/5/14, 36, 9, 34, 10
2021/5/15, 31, 3, 31, 
2021/5/16, 10, 5, 38, 
2021/5/17, 14, 6, 33, 8
2021/5/18, 21, 5, 31, 2
2021/5/19, 20, 5, 36, 2
2021/5/20, 10, 5, 33, 4
2021/5/21, 11, 4, 33, 6
2021/5/22, 10, 5, 32, 3
2021/5/23, 15, 3, 30, 3
2021/5/24, 9, 2, 33, 3
2021/5/25, 4, 3, 36, 2
2021/5/26, 6, 6, 30, 6
2021/5/27, 13, 17, 29, 8
2021/5/28, 44, 16, 30, 5
2021/5/29, 50, 15, 26, 4
2021/5/30, 48, 14, 29, 5
2021/5/31, 40, 12, 35, 7
2021/6/1, 35, 12, 35, 8
2021/6/2, 29, 12, 37, 7
2021/6/3, 23, 13, 37, 8
2021/6/4, 35, 14, 40, 3
2021/6/5, 45, 10, 40, 1
2021/6/6, 37, 11, 35, 4
2021/6/7, 34, 9, 31, 4
2021/6/8, 25, 9, 38, 2
2021/6/9, 32, 5, 32, 1
2021/6/10, 27, 12, 27, 1
2021/6/11, 29, 11, 26, 
2021/6/12, 24, 8, 21, 
2021/6/13, 17, 5, 27, 3
2021/6/14, 11, 8, 22, 1
2021/6/15, 15, 8, 34, 
2021/6/16, 20, 10, 36, 6
2021/6/17, 30, 8, 24, 2
2021/6/18, 21, 11, 22, 2
2021/6/19, 34, 10, 25, 5
2021/6/20, 32, 7, 24, 1
2021/6/21, 18, 6, 23, 2
2021/6/22, 15, 7, 26, 4
2021/6/23, 17, 9, 26, 5
2021/6/24, 26, 4, 23, 4
2021/6/25, 12, 7, 21, 2
2021/6/26, 20, 7, 27, 1
2021/6/27, 21, 10, 26, 2
2021/6/28, 24, 20, 27, 2
2021/6/29, 48, 15, 29, 6
2021/6/30, 42, 13, 29, 8
2021/1/4, 98, 33, , 25
2021/1/5, 86, 39, , 23
2021/1/6, 100, 18, , 16
2021/1/7, 53, 15, , 16
2021/1/8, 40, 4, , 1
2021/1/9, 15, 7, , 5
2021/1/10, 25, 16, , 18
2021/1/11, 41, 9, , 7
2021/1/12, 25, 9, , 7
2021/1/13, 25, 28, 1, 23
2021/1/14, 73, 25, 5, 23
2021/1/15, 72, 10, 27, 8
2021/1/16, 33, 3, 23, 2
2021/1/17, 12, 3, 28, 2
2021/1/18, 10, 6, 30, 4
2021/1/19, 16, 5, 26, 8
2021/1/20, 19, 2, 29, 4
2021/1/21, 5, 3, 25, 6
2021/1/22, 6, , , 
2021/2/16, 8, 4, 30, 5
2021/2/17, 8, 3, 31, 1
2021/2/18, 7, 3, 34, 1
2021/2/19, 10, 4, 32, 1
2021/2/20, 8, 20, 29, 1
2021/2/21, 51, 10, 30, 6
2021/2/22, 28, 5, 31, 1
2021/2/23, 12, 12, 29, 1
2021/2/24, 37, 12, 33, 2
2021/2/25, 35, 11, 32, 4
2021/2/26, 26, 9, 29, 2
2021/2/27, 23, 16, 29, 2
2021/2/28, 40, 5, 26, 5
2021/3/1, 16, 8, 25, 7
2021/3/2, 19, 5, 34, 3
2021/3/3, 15, 6, 31, 3
2021/3/4, 11, 7, 27, 7
2021/3/5, 17, 7, 34, 3
2021/3/6, 17, 8, 35, 1
2021/3/7, 19, 8, 29, 8
2021/3/8, 22, , 29, 8
2021/3/15, 14, 6, 31, 3
2021/3/16, 11, 7, 28, 5
2021/3/17, 12, 6, 27, 3
2021/3/18, 15, 6, 27, 6
2021/3/19, 14, 4, 34, 1
2021/3/20, 11, 13, 33, 3
2021/3/21, 29, 3, 29, 3
2021/3/22, 9, 3, 30, 2
2021/3/23, 9, 15, 35, 3
2021/3/24, 38, 10, 34, 1
2021/3/25, 27, 6, 35, 1
2021/3/26, 19, 8, 33, 1
2021/3/27, 18, 9, 32, 2
2021/3/28, 21, 16, 32, 1
2021/3/29, 38, 4, 23, 4
2021/3/30, 9, 7, 30, 1
2021/3/31, 16, 4, 33, 1
2020/10/1, 7, 38, 27, 1
2020/10/2, 46, 28, 29, 
2020/10/3, 43, 3, 28, 1
2020/10/4, 7, 6, 28, 8
2020/10/5, 9, 4, 28, 5
2020/10/6, 6, 6, 24, 8
2020/10/7, 10, 4, 30, 4
2020/10/8, 9, 5, 61, 6
2020/10/9, 12, 3, , 4
2020/10/10, 7, 3, , 3
2020/10/11, 7, 4, , 6
2020/10/12, 8, 12, , 14
2020/10/13, 19, 12, , 13
2020/10/14, 17, 11, , 16
2020/10/15, 23, 9, , 12
2020/10/16, 20, 5, , 9
2020/10/17, 13, 9, , 10
2020/10/18, 22, 12, , 14
2020/10/19, 25, 2, , 3
2020/10/20, 6, 7, , 8
2020/10/21, 17, 5, , 7
2020/10/22, 11, 7, , 6
2020/10/23, 11, 3, , 1
2020/10/24, 7, 4, , 2
2020/10/25, 10, 5, , 3
2020/10/26, 12, 5, , 13
2020/10/27, 11, 5, , 2
2020/10/28, 12, 4, , 6
2020/10/29, 11, 5, , 5
2020/10/30, 14, 7, , 2
2020/10/31, 16, 10, , 
2020/11/1, 26, 8, , 5
2020/11/2, 19, 7, , 7
2020/11/3, 16, 9, , 6
2020/11/4, 21, 4, , 2
2020/11/5, 11, 8, , 6
2020/11/6, 21, 5, , 3
2020/11/7, 16, 16, , 6
2020/11/8, 55, 15, , 12
2020/11/9, 40, 9, , 9
2020/11/10, 18, 7, , 4
2020/11/11, 15, 3, , 2
2020/11/12, 5, 3, , 1
2020/11/13, 6, 6, , 
2020/11/14, 17, 4, , 2
2020/11/15, 14, 5, , 3
2020/11/16, 11, 6, , 3
2020/11/17, 13, 4, , 2
2020/11/18, 13, 6, , 2
2020/11/19, 16, 6, , 6
2020/11/20, 14, 15, , 
2020/11/21, 36, 13, , 1
2020/11/22, 30, 7, , 7
2020/11/23, 16, 9, , 4
2020/11/24, 18, 9, , 7
2020/11/25, 24, 9, , 16
2020/11/26, 22, 10, , 16
2020/11/27, 27, 9, , 10
2020/11/28, 27, 4, , 1
2020/11/29, 13, 4, , 3
2020/11/30, 11, 9, , 10
2020/12/1, 21, 2, , 1
2020/12/2, 6, 1, , 3
2020/12/3, 1, 8, , 6
2020/12/4, 20, 10, , 9
2020/12/5, 35, 5, , 5
2020/12/6, 19, 7, , 10
2020/12/7, 22, 5, , 14
2020/12/8, 12, 8, , 
2020/12/9, 17, 8, , 
2020/12/10, 14, 14, , 
2020/12/11, 26, 18, , 
2020/12/12, 42, 21, , 
2020/12/13, 59, 3, , 
2020/12/14, 6, 5, , 
2020/12/15, 15, 4, , 
2020/12/16, 13, 3, , 
2020/12/17, 9, 2, , 
2020/12/18, 6, 2, , 
2020/12/19, 6, 7, , 
2020/12/20, 21, 5, , 
2020/12/21, 13, 5, , 
2020/12/22, 11, 5, , 
2020/12/23, 12, 4, , 
2020/12/24, 10, 4, , 
2020/12/25, 15, 3, , 
2020/12/26, 8, 1, , 
2020/12/27, 5, 2, , 
2020/12/28, 4, 9, , 
2020/12/29, 27, 9, , 
2020/12/30, 29, 12, , 
2020/12/31, 41, 32, , 
2021/1/1, 91, 15, , 
2021/1/2, 50, 19, , 
2021/1/3, 61, 36, , 30
2020/7/1, 11, 3, 21, 3
2020/7/2, 6, 3, 23, 3
2020/7/3, 6, 3, 24, 5
2020/7/4, 6, 3, 28, 1
2020/7/5, 6, 9, 22, 1
2020/7/6, 17, 3, 18, 2
2020/7/7, 5, 5, 25, 3
2020/7/8, 10, 5, 22, 4
2020/7/9, 9, 3, 24, 2
2020/7/10, 7, 4, 21, 5
2020/7/11, 9, 3, 24, 1
2020/7/12, 8, 3, 24, 2
2020/7/13, 7, 3, 21, 3
2020/7/14, 7, 3, 24, 3
2020/7/15, 8, 3, 23, 3
2020/7/16, 10, 3, 20, 2
2020/7/17, 8, 5, 22, 2
2020/7/18, 13, 6, 23, 1
2020/7/19, 15, 5, 20, 3
2020/7/20, 10, 3, 20, 4
2020/7/21, 7, 3, 22, 2
2020/7/22, 7, 3, 21, 5
2020/7/23, 7, 4, 23, 5
2020/7/24, 8, 5, 25, 2
2020/7/25, 11, 2, 22, 2
2020/7/26, 6, 5, 17, 3
2020/7/27, 12, 3, 26, 2
2020/7/28, 6, 4, 22, 4
2020/7/29, 11, 7, 22, 2
2020/7/30, 24, 9, 20, 7
2020/7/31, 29, 7, 24, 7
2020/8/1, 20, 7, 22, 2
2020/8/2, 21, 6, 23, 2
2020/8/3, 15, 4, 22, 3
2020/8/4, 10, 3, 25, 1
2020/8/5, 7, 6, 31, 3
2020/8/6, 13, 7, 24, 4
2020/8/7, 16, 7, 27, 4
2020/8/8, 17, 5, 20, 1
2020/8/9, 14, 8, 18, 8
2020/8/10, 23, 10, 23, 11
2020/8/11, 28, 14, 28, 13
2020/8/12, 40, 14, 29, 10
2020/8/13, 37, 9, 26, 2
2020/8/14, 25, 6, 22, 2
2020/8/15, 19, 8, 23, 6
2020/8/16, 28, 12, 28, 10
2020/8/17, 39, 21, 43, 14
2020/8/18, 53, 8, 39, 6
2020/8/19, 24, 7, 30, 9
2020/8/20, 18, 7, 31, 5
2020/8/21, 16, 12, 28, 4
2020/8/22, 31, 4, 23, 5
2020/8/23, 10, 4, 22, 4
2020/8/24, 8, 3, 24, 3
2020/8/25, 7, 5, 22, 5
2020/8/26, 8, 9, 25, 7
2020/8/27, 12, 5, 19, 8
2020/8/28, 10, 4, 26, 4
2020/8/29, 10, 3, 25, 
2020/8/30, 6, 5, 23, 4
2020/8/31, 8, 6, 24, 6
2020/9/1, 11, 6, 29, 2
2020/9/2, 10, 5, 26, 1
2020/9/3, 11, 10, 23, 4
2020/9/4, 21, 6, 21, 1
2020/9/5, 13, 5, 22, 3
2020/9/6, 12, 4, 22, 3
2020/9/7, 9, 12, 18, 2
2020/9/8, 26, 7, 21, 3
2020/9/9, 15, 10, 24, 4
2020/9/10, 17, 8, 24, 1
2020/9/11, 20, 16, 29, 1
2020/9/12, 35, 6, 25, 1
2020/9/13, 15, 9, 19, 3
2020/9/14, 18, 8, 24, 4
2020/9/15, 24, 4, 26, 1
2020/9/16, 8, 8, 24, 7
2020/9/17, 12, 4, 23, 5
2020/9/18, 12, 4, 18, 4
2020/9/19, 11, 3, 21, 3
2020/9/20, 10, 6, 24, 2
2020/9/21, 16, 8, 28, 2
2020/9/22, 23, 6, 28, 2
2020/9/23, 14, 4, 27, 7
2020/9/24, 9, 4, 21, 5
2020/9/25, 9, 2, 24, 2
2020/9/26, 3, 5, 7, 15
2020/9/27, 13, 16, 19, 11
2020/9/28, 33, 6, 23, 6
2020/9/29, 14, 4, 27, 7
2020/9/30, 11, 4, 34, 1
2020/4/1, 34, 11, 38, 1
2020/4/2, 24, 5, 30, 5
2020/4/3, 13, 3, 32, 2
2020/4/4, 9, 9, 41, 1
2020/4/5, 31, 17, 41, 2
2020/4/6, 51, 18, 28, 4
2020/4/7, 39, 10, 30, 5
2020/4/8, 29, 12, 32, 4
2020/4/9, 27, 12, 32, 3
2020/4/10, 28, 6, 30, 4
2020/4/11, 20, 12, 32, 2
2020/4/12, 27, 8, 33, 2
2020/4/13, 20, 9, 35, 7
2020/4/14, 19, 7, 36, 2
2020/4/15, 18, 13, 32, 4
2020/4/16, 26, 8, 33, 4
2020/4/17, 16, 7, 32, 6
2020/4/18, 16, 6, 34, 7
2020/4/19, 18, 9, 29, 12
2020/4/20, 15, 11, 31, 12
2020/4/21, 16, 9, 34, 10
2020/4/22, 12, 9, 33, 4
2020/4/23, 21, 5, 33, 2
2020/4/24, 11, 4, 33, 8
2020/4/25, 10, 4, 31, 5
2020/4/26, 10, 3, 29, 9
2020/4/27, 8, 7, 30, 12
2020/4/28, 11, 3, 31, 4
2020/4/29, 6, 3, 32, 4
2020/4/30, 7, 3, 27, 6
2020/5/1, 8, 5, 32, 5
2020/5/2, 14, 4, 34, 3
2020/5/3, 10, 6, 34, 5
2020/5/4, 11, 8, 35, 6
2020/5/5, 14, 17, 38, 3
2020/5/6, 33, 25, 38, 3
2020/5/7, 44, 8, 34, 2
2020/5/8, 18, 6, 34, 1
2020/5/9, 11, 5, 25, 
2020/5/10, 9, 5, 34, 1
2020/5/11, 9, 5, 29, 1
2020/5/12, 9, 5, 32, 2
2020/5/13, 9, 5, 36, 3
2020/5/14, 11, 6, 32, 2
2020/5/15, 13, 7, 23, 1
2020/5/16, 15, 9, 26, 1
2020/5/17, 18, 8, 23, 5
2020/5/18, 13, 7, 30, 2
2020/5/19, 12, 6, 30, 6
2020/5/20, 13, 5, 28, 5
2020/5/21, 14, 7, 38, 1
2020/5/22, 17, 14, 30, 
2020/5/23, 36, 3, 31, 1
2020/5/24, 9, 6, 27, 4
2020/5/25, 15, 10, 26, 3
2020/5/26, 27, 19, 27, 2
2020/5/27, 43, 12, 33, 3
2020/5/28, 23, 8, 31, 8
2020/5/29, 17, 6, 34, 8
2020/5/30, 14, 6, 29, 6
2020/5/31, 13, 6, 31, 7
2020/6/1, 12, 10, 37, 5
2020/6/2, 21, 16, 33, 4
2020/6/3, 41, 7, 25, 6
2020/6/4, 19, 5, 33, 2
2020/6/5, 11, 4, 32, 4
2020/6/6, 14, 12, 27, 3
2020/6/7, 30, 7, 21, 3
2020/6/8, 14, 31, 24, 5
2020/6/9, 24, 9, 31, 5
2020/6/10, 19, 8, 37, 6
2020/6/11, 16, 7, 30, 2
2020/6/12, 16, 11, 26, 8
2020/6/13, 27, 11, 25, 7
2020/6/14, 31, 12, 30, 7
2020/6/15, 32, 15, 32, 9
2020/6/16, 41, 13, 28, 8
2020/6/17, 40, 13, 24, 4
2020/6/18, 43, 14, 33, 12
2020/6/19, 40, 11, 33, 6
2020/6/20, 40, 5, 32, 3
2020/6/21, 19, 8, 25, 3
2020/6/22, 22, 12, 34, 2
2020/6/23, 29, 11, 41, 3
2020/6/24, 29, 8, 31, 7
2020/6/25, 19, 10, 45, 7
2020/6/26, 25, 13, 44, 4
2020/6/27, 42, 8, 34, 2
2020/6/28, 25, 5, 25, 1
2020/6/29, 9, 5, 26, 5
2020/6/30, 10, 6, 28, 1
2020/1/1, 32, 14, 22, 1
2020/1/2, 45, 14, 36, 1
2020/1/3, 30, 11, 31, 4
2020/1/4, 28, 4, 28, 2
2020/1/5, 14, 2, 28, 2
2020/1/6, 6, 11, 28, 2
2020/1/7, 28, 17, 35, 3
2020/1/8, 39, 15, 26, 9
2020/1/9, 31, , , 
2020/1/17, 34, 10, 33, 6
2020/1/18, 26, 18, 33, 4
2020/1/19, 44, 4, 29, 4
2020/1/20, 12, 10, 31, 8
2020/1/21, 22, 14, 27, 17
2020/1/22, 30, 5, 34, 5
2020/1/23, 14, 11, 32, 8
2020/1/24, 27, 5, 29, 2
2020/1/25, 14, 6, 26, 1
2020/1/26, 18, 4, 30, 5
2020/1/27, 12, 9, 30, 12
2020/1/28, 15, 3, 25, 8
2020/1/29, 9, 2, 27, 4
2020/1/30, 5, 9, 30, 4
2020/1/31, 22, 9, 29, 3
2020/2/1, 24, 8, 21, 13
2020/2/2, 26, 7, 28, 19
2020/2/3, 23, 6, 25, 10
2020/2/4, 17, 9, 30, 5
2020/2/5, 22, 5, 28, 10
2020/2/6, 15, 3, 29, 7
2020/2/7, 12, 8, 29, 2
2020/2/8, 24, 6, 31, 1
2020/2/9, 16, 9, 33, 5
2020/2/10, 20, 8, 32, 7
2020/2/11, 19, 7, 29, 7
2020/2/12, 16, 8, 27, 9
2020/2/13, 18, 3, 28, 3
2020/2/14, 10, 16, 30, 2
2020/2/15, 36, 15, 34, 1
2020/2/16, 35, 21, 33, 2
2020/2/17, 49, 14, 32, 3
2020/2/18, 32, 5, 30, 5
2020/2/19, 12, 4, 28, 6
2020/2/20, 12, 17, 31, 4
