date, pm25, pm10, o3, no2
2023/10/24, 24, 6, 26, 11
2023/10/25, 13, 10, 16, 20
2023/10/26, 27, 12, 11, 21
2023/10/27, 33, 12, 14, 16
2023/10/28, 33, 10, 21, 15
2023/10/29, 31, 10, 20, 16
2023/10/30, 21, 15, 14, 19
2023/10/31, 33, 6, 25, 6
2023/11/1, 13, 3, 25, 4
2023/11/2, 4, 1, 24, 2
2023/11/3, 3, 3, 22, 3
2023/11/4, 7, 8, 11, 15
2023/11/5, 23, 19, 2, 25
2023/11/6, 43, 16, 3, 22
2023/11/7, 40, 12, 26, 15
2023/11/8, 31, 6, 24, 7
2023/11/9, 13, 17, 12, 21
2023/11/10, 38, 18, 3, 21
2023/11/11, 52, 19, 5, 17
2023/11/12, 56, 21, 23, 22
2023/11/13, 50, 25, 24, 22
2023/11/14, 47, 9, 15, 14
2023/11/15, 29, 8, 17, 11
2023/11/16, 24, 20, 8, 23
2023/11/17, 53, 19, 27, 25
2023/11/18, 56, 11, 27, 7
2023/11/19, 24, 23, 6, 23
2023/11/20, 52, 12, 20, 14
2023/11/21, 31, 11, 31, 2
2023/11/22, 25, 11, 40, 1
2023/11/23, 25, 7, 29, 7
2023/11/24, 19, 8, 18, 11
2023/11/25, 24, 8, 27, 8
2023/11/26, 29, 11, 20, 16
2023/11/27, 26, 10, 22, 6
2023/11/28, 22, 9, 26, 6
2023/11/29, 19, 33, 5, 21
2023/11/30, 70, 32, 6, 22
2023/12/1, 75, 14, 12, 12
2023/12/2, 44, 17, 10, 13
2023/12/3, 59, 21, 11, 20
2023/12/4, 56, 15, 18, 18
2023/12/5, 50, 6, 40, 5
2023/12/6, 16, 20, 21, 19
2023/12/7, 53, 24, 10, 24
2023/12/8, 60, 8, 19, 8
2023/12/9, 25, 12, 14, 14
2023/12/10, 37, 29, 18, 21
2023/12/11, 58, 22, 68, 17
2023/12/12, 56, 10, , 12
2023/12/13, 28, 5, , 3
2023/12/14, 12, 17, , 4
2023/12/15, 43, 10, , 3
2023/12/16, 27, 6, , 4
2023/12/17, 19, 6, , 4
2023/12/18, 14, 11, , 5
2023/12/19, 26, 9, , 9
2023/12/20, 27, 7, , 4
2023/12/21, 17, 9, , 8
2023/12/22, 25, 14, , 19
2023/12/23, 46, 11, , 13
2023/12/24, 38, 7, , 3
2023/12/25, 21, 5, , 4
2023/12/26, 15, 12, , 17
2023/12/27, 36, 4, , 
2023/12/28, 12, 4, , 2
2023/12/29, 12, 12, , 15
2023/12/30, 40, 3, , 7
2023/12/31, 10, 3, , 2
2023/7/1, 30, 7, 34, 3
2023/7/2, 21, 5, 28, 3
2023/7/3, 15, 7, 28, 5
2023/7/4, 17, 3, 26, 2
2023/7/5, 8, 6, 25, 2
2023/7/6, 16, 6, 35, 1
2023/7/7, 15, 6, 32, 3
2023/7/8, 20, 5, 25, 5
2023/7/9, 17, 5, 33, 3
2023/7/10, 18, 6, 28, 8
2023/7/11, 16, 4, 32, 2
2023/7/12, 11, 5, 27, 
2023/7/13, 12, 4, 26, 2
2023/7/14, 9, 4, 29, 5
2023/7/15, 11, 6, 30, 
2023/7/16, 16, 6, 25, 3
2023/7/17, 14, 5, 22, 2
2023/7/18, 12, 4, 24, 4
2023/7/19, 9, 5, 21, 2
2023/7/20, 10, 4, 22, 4
2023/7/21, 10, 5, 18, 6
2023/7/22, 14, 5, 21, 4
2023/7/23, 13, 4, 22, 8
2023/7/24, 12, 3, 18, 7
2023/7/25, 9, 5, 22, 5
2023/7/26, 13, 5, 27, 4
2023/7/27, 16, 2, 27, 3
2023/7/28, 8, 5, 34, 7
2023/7/29, 14, 6, 24, 2
